src_domain,dst_host,link_count
research.unimelb.edu.au,arts.unimelb.edu.au,59
science.unimelb.edu.au,en.wikipedia.org,59
students.unimelb.edu.au,catalog.lms.unimelb.edu.au,59
study.unimelb.edu.au,www.youtube.com,59
medicine.unimelb.edu.au,www.mdas.org.au,58
research.unimelb.edu.au,energy.unimelb.edu.au,58
arts.unimelb.edu.au,url.au.m.mimecastprotect.com,57
mdhs.unimelb.edu.au,search.unimelb.edu.au,57
law.unimelb.edu.au,lums.edu.pk,56
mdhs.unimelb.edu.au,pursuit.unimelb.edu.au,56
medicine.unimelb.edu.au,protect-au.mimecast.com,56
research.unimelb.edu.au,law.unimelb.edu.au,56
study.unimelb.edu.au,bookings.events.unimelb.edu.au,56
study.unimelb.edu.au,youtu.be,56
law.unimelb.edu.au,asrc.org.au,55
law.unimelb.edu.au,uwaterloo.ca,55
medicine.unimelb.edu.au,www.rch.org.au,55
msd.unimelb.edu.au,theconversation.com,55
eng.unimelb.edu.au,youtu.be,54
law.unimelb.edu.au,www.osgoode.yorku.ca,54
finearts-music.unimelb.edu.au,cm.edm.unimelb.edu.au,53
medicine.unimelb.edu.au,open.spotify.com,53
students.unimelb.edu.au,q.surveys.unimelb.edu.au,53
arts.unimelb.edu.au,www.tandfonline.com,52
finearts-music.unimelb.edu.au,en.wikipedia.org,51
research.unimelb.edu.au,finearts-music.unimelb.edu.au,51
eng.unimelb.edu.au,umsu.unimelb.edu.au,50
eng.unimelb.edu.au,energy.unimelb.edu.au,50
fbe.unimelb.edu.au,pharmacy.ucsd.edu,50
finearts-music.unimelb.edu.au,www.acmi.net.au,50
scholarships.unimelb.edu.au,vtac.edu.au,50
