unit_slug,faculty,level,corpus,page_type,classification,wordCount,depth,hubLinks,url,title,topicTags,topicTags_old,is_binary
abp,ABP,faculty,current-students,content,mixed,1035,3,21,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/master-of-architecture/c_sm1_2026/healing-the-city,Healing the City,subjects-timetable,subjects-timetable,0
abp,ABP,faculty,current-students,content,mixed,940,3,21,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/master-of-architecture/c_sm1_2026/the-broken-box,The Broken Box,subjects-timetable,subjects-timetable,0
abp,ABP,faculty,current-students,content,mixed,773,3,21,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/master-of-architecture/c_sm1_2026/living-island,Living Island,subjects-timetable,subjects-timetable|student-life|clubs-events,0
abp,ABP,faculty,current-students,content,mixed,811,3,21,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/master-of-architecture/d_sm1_2026/nothing-special,Nothing Special,subjects-timetable,subjects-timetable,0
abp,ABP,faculty,current-students,content,mixed,958,3,21,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/master-of-architecture/d_sm1_2026/barbican,BARBICAN Independent London,subjects-timetable,subjects-timetable,0
abp,ABP,faculty,current-students,content,mixed,913,3,21,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/master-of-architecture/d_sm1_2026/denatured-visions,Sweating out the Toxins,subjects-timetable,subjects-timetable,0
abp,ABP,faculty,current-students,content,mixed,936,3,21,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/master-of-architecture/d_sm1_2026/basin,Basin,subjects-timetable,subjects-timetable,0
abp,ABP,faculty,current-students,content,mixed,1193,3,21,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/master-of-architecture/d_sm1_2026/church-studio,CHURCH Studio,subjects-timetable,subjects-timetable,0
abp,ABP,faculty,current-students,content,mixed,704,3,21,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/master-of-architecture/d_sm1_2026/flats,Flats,subjects-timetable,subjects-timetable,0
abp,ABP,faculty,current-students,content,mixed,799,3,21,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/master-of-architecture/d_sm1_2026/future-casting,Future Casting,subjects-timetable|placements-WIL,subjects-timetable|inclusion-equity,0
abp,ABP,faculty,current-students,content,mixed,749,3,21,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/master-of-architecture/d_sm1_2026/domesticity-inside-out,Domesticity Inside Out,subjects-timetable,subjects-timetable|library,0
abp,ABP,faculty,current-students,content,mixed,728,3,21,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/master-of-architecture/e_sm1_2026/vernacular-spectacular,Vernacular Spectacular,subjects-timetable,subjects-timetable,0
abp,ABP,faculty,current-students,content,mixed,713,3,21,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/master-of-architecture/e_sm1_2026/material-metaphors,Material Metaphors,subjects-timetable,subjects-timetable,0
abp,ABP,faculty,current-students,content,mixed,826,3,21,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/master-of-architecture/e_sm1_2026/cenobio-endgame,Cenobio,subjects-timetable,subjects-timetable|forms-admin,0
abp,ABP,faculty,current-students,content,mixed,1199,3,21,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/master-of-architecture/e_sm1_2026/wasteocene,Wasteocene,subjects-timetable,subjects-timetable,0
abp,ABP,faculty,current-students,content,mixed,734,3,21,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/master-of-architecture/e_sm1_2026/bothy,Bothy,subjects-timetable,subjects-timetable,0
abp,ABP,faculty,current-students,content,mixed,773,3,21,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/master-of-architecture/e_sm1_2026/space-for-hire,Light Industry,subjects-timetable,subjects-timetable|careers-employability|student-life|contacts-support,0
abp,ABP,faculty,current-students,content,mixed,835,3,21,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/master-of-architecture/e_sm1_2026/NotOnlyButAlso,Not Only But Also,subjects-timetable,subjects-timetable|student-life,0
abp,ABP,faculty,current-students,content,mixed,712,3,21,"https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/master-of-architecture/thesis_sm1_2026/open-animal,-vegetable,-mineral","Animal, Vegetable, Mineral : Architecture in the Anthropocene",subjects-timetable|research-candidature,subjects-timetable|research-candidature,0
abp,ABP,faculty,current-students,content,mixed,789,3,21,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/master-of-architecture/thesis_sm1_2026/collective-housing,Housing Studio,subjects-timetable|research-candidature,subjects-timetable|research-candidature,0
abp,ABP,faculty,current-students,content,mixed,910,3,21,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/master-of-architecture/thesis_sm1_2026/nightingale-night-school,Nightingale Night School,subjects-timetable|research-candidature,subjects-timetable|research-candidature|fees-finance,0
abp,ABP,faculty,current-students,content,mixed,786,3,21,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/master-of-architecture/thesis_sm1_2026/open-rememory,Open Studio: Rememory,subjects-timetable|research-candidature,subjects-timetable|research-candidature|forms-admin,0
abp,ABP,faculty,current-students,content,mixed,934,3,21,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/master-of-architecture/thesis_sm1_2026/re-up,Re-Up,subjects-timetable|research-candidature|placements-WIL,subjects-timetable|research-candidature|contacts-support,0
