topic,unit_slug,faculty,url,title,wordCount,classification,page_type
clubs-events,education,Education,https://education.unimelb.edu.au/study/current-students/employability-in-education/master-of-teaching/placement-requirements/placement-seminars,Placement seminars,284,unique,content
clubs-events,feit,FEIT,https://eng.unimelb.edu.au/students/eng-and-it-calendar/upcoming-events/lens-stevens-scholarship,Lens Stevens Scholarship,374,unique,content
clubs-events,feit,FEIT,https://eng.unimelb.edu.au/students/clubs,Student Clubs and Societies,473,unique,content
clubs-events,feit,FEIT,https://eng.unimelb.edu.au/students/eng-and-it-calendar/upcoming-events/round-4-scholarships,Round 4 Scholarships,473,unique,content
clubs-events,feit,FEIT,https://eng.unimelb.edu.au/students/eng-and-it-calendar/upcoming-events/2026/international-skills-series/intercultural-career-mentoring-program,Intercultural Career Mentoring Program,366,unique,content
clubs-events,feit,FEIT,https://eng.unimelb.edu.au/students/eng-and-it-calendar/upcoming-events/round-3-scholarships,Round 3 Scholarships,434,unique,content
clubs-events,feit,FEIT,https://eng.unimelb.edu.au/students/eng-and-it-calendar/upcoming-events/ian-alexander-scholarship-round-2,Ian Alexander Scholarship Round 2,344,unique,content
clubs-events,feit,FEIT,https://eng.unimelb.edu.au/students/clubs/our-clubs,Our Clubs,1278,unique,content
clubs-events,feit,FEIT,https://eng.unimelb.edu.au/students/eng-and-it-calendar,FEIT Student Event Calendar,360,unique,content
clubs-events,feit,FEIT,https://eng.unimelb.edu.au/students/coursework/student-experience/orientation/after-orientation/keep-in-touch/eng-and-it-calendar/upcoming-events/ian-alexander-scholarship-round-2,Ian Alexander Scholarship Round 2,352,unique,content
clubs-events,feit,FEIT,https://eng.unimelb.edu.au/students/coursework/student-experience/orientation/after-orientation/keep-in-touch/eng-and-it-calendar/upcoming-events/2026/international-skills-series/intercultural-career-mentoring-program,Intercultural Career Mentoring Program,374,unique,content
clubs-events,feit,FEIT,https://eng.unimelb.edu.au/students/coursework/student-experience/orientation/after-orientation/keep-in-touch/eng-and-it-calendar/upcoming-events/lens-stevens-scholarship,Lens Stevens Scholarship,382,unique,content
clubs-events,feit,FEIT,https://eng.unimelb.edu.au/students/coursework/student-experience/orientation/after-orientation/keep-in-touch/eng-and-it-calendar/upcoming-events/round-4-scholarships,Round 4 Scholarships,481,unique,content
